id,title,isbn,publication_date,price,language,pages,publisher_id,description,tags
189,La Coscienza di Zeno,978-8807900242,1923-01-01,14.99,it,437,9,Zeno Cosini analizza la propria vita in chiave psicoanalitica.,Fiction,Psychological,Modernist
190,Il Fu Mattia Pascal,978-8807900358,1904-01-01,12.99,it,268,10,Uomo approfitta della propria morte presunta per rifarsi una vita.,Fiction,Philosophical,Classic
191,Uno Nessuno e Centomila,978-8807900549,1926-01-01,13.99,it,218,10,Vitangelo Moscarda scopre di essere diverso per ciascuno.,Fiction,Philosophical,Modernist
192,Il Deserto dei Tartari,978-8817070843,1940-01-01,14.99,it,212,11,Ufficiale attende invano battaglia nella fortezza Bastiani.,Fiction,Existentialist,Literary
193,Le Città Invisibili,978-8804668015,1972-11-01,14.99,it,165,12,Marco Polo descrive città immaginarie a Kublai Khan.,Fiction,Fantasy,Literary,Postmodern
194,Se una notte d'inverno un viaggiatore,978-8804668022,1979-11-01,15.99,it,254,12,Lettore insegue dieci romanzi incompiuti.,Fiction,Metafiction,Postmodern
195,Il Barone Rampante,978-8804668091,1957-06-01,13.99,it,277,12,Nobile bambino sale su un albero e non scende più.,Fiction,Fantasy,Philosophical
196,Il Visconte Dimezzato,978-8804668107,1952-01-01,12.99,it,122,12,Visconte tagliato a metà da palla di cannone.,Fiction,Fantasy,Philosophical
197,Il Cavaliere Inesistente,978-8804668114,1959-01-01,12.99,it,138,12,Armatura vuota combatte nelle guerre di Carlomagno.,Fiction,Fantasy,Philosophical
198,La Giornata d'uno Scrutatore,978-8804668121,1963-01-01,11.99,it,82,12,Intellettuale comunista fa lo scrutatore in manicomio.,Fiction,Political,Philosophical
199,Il Sentiero dei Nidi di Ragno,978-8804668138,1947-01-01,12.99,it,186,12,Bambino vive resistenza partigiana in Liguria.,Fiction,War,Coming of Age
200,La Luna e i Falò,978-8806220495,1950-04-01,13.99,it,174,13,Emigrato torna nelle Langhe dopo la guerra.,Fiction,Literary,Post-War
201,Paesi Tuoi,978-8806220501,1941-01-01,11.99,it,122,13,Storia violenta nelle campagne piemontesi.,Fiction,Neorealism
202,La Casa in Collina,978-8806220518,1948-09-01,13.99,it,202,13,Intellettuale fugge dalla guerra civile torinese.,Fiction,War,Literary
203,L'Amica Geniale,978-8866320319,2011-10-31,16.99,it,331,14,Amicizia tra due donne nel rione napoletano.,Fiction,Literary,Coming of Age
204,Storia del Nuovo Cognome,978-8866321989,2012-11-01,17.99,it,471,14,Elena e Lila negli anni sessanta tra matrimonio e trasformazione.,Fiction,Literary,Social
205,Storia di Chi Fugge e di Chi Resta,978-8866323419,2013-11-01,17.99,it,415,14,Elena studia a Pisa mentre Lila resta nel rione.,Fiction,Literary,Feminist
206,Storia della Bambina Perduta,978-8866324805,2014-11-01,18.99,it,470,14,Maturità e vecchiaia di Elena e Lila.,Fiction,Literary,Feminist
207,Gomorra,978-8804560807,2006-03-01,15.99,it,331,15,Roberto Saviano svela il sistema camorristico.,Non-fiction,True Crime,Social Commentary
208,La Solitudine dei Numeri Primi,978-8804571773,2008-01-01,15.99,it,304,16,Due anime ferite si cercano per tutta la vita.,Fiction,Literary,Coming of Age
209,Io Non Ho Paura,978-8807880711,2001-01-01,14.99,it,211,17,Bambino scopre terribile segreto nel grano del Sud.,Fiction,Thriller,Coming of Age
210,Come Dio Comanda,978-8807880728,2006-01-01,15.99,it,378,17,Padre e figlio nella provincia italiana violenta.,Fiction,Literary,Social
211,Tre Metri Sopra il Cielo,978-8817070256,1992-01-01,13.99,it,394,11,Storia d'amore adolescenziale a Roma.,Romance,Young Adult
212,Il Codice da Vinci,978-8804559344,2003-03-01,16.99,it,512,15,Simbologista indaga omicidio al Louvre.,Thriller,Mystery,Historical
213,Le Avventure di Pinocchio,978-8811685296,1883-01-01,11.99,it,159,18,Burattino di legno vuole diventare bambino vero.,Fantasy,Young Adult,Classic
214,Cuore,978-8811689812,1886-10-01,10.99,it,278,18,Diario scolastico di bambino torinese.,Fiction,Young Adult,Classic
215,Il Piccolo Principe,978-8845292613,1943-04-06,12.99,it,96,2,Principino viaggia tra pianeti cercando senso della vita.,Fiction,Fantasy,Philosophical,Classic
216,La Metamorfosi,978-8807900594,1915-01-01,10.99,it,80,9,Gregor Samsa si sveglia trasformato in insetto.,Fiction,Absurdist,Classic
217,Il Processo,978-8807900600,1925-01-01,14.99,it,280,9,Josef K è arrestato senza sapere perché.,Fiction,Absurdist,Philosophical,Classic
218,Le Città Invisibili,978-8804668015,1972-11-01,14.99,it,165,12,Marco Polo descrive città fantastiche.,Fiction,Literary,Postmodern
219,Cent'Anni di Solitudine,978-8807880919,1967-05-30,17.99,it,430,19,Saga della famiglia Buendía a Macondo.,Fiction,Magical Realism,Literary
220,L'Amore ai Tempi del Colera,978-8807880926,1985-01-01,16.99,it,428,19,Storia d'amore che dura cinquant'anni.,Romance,Literary,Magical Realism
221,La Fattoria degli Animali,978-8804668237,1945-08-17,11.99,it,122,8,Animali si ribellano contro il fattore.,Fiction,Political Satire,Classic
222,1984,978-8804668244,1949-06-08,13.99,it,340,8,Stato totalitario controlla ogni aspetto della vita.,Fiction,Dystopian,Classic
223,Il Signore degli Anelli,978-8845292620,1954-07-29,26.99,it,1255,2,Frodo deve distruggere Anello del Potere.,Fantasy,Epic Fantasy,Adventure,Classic
224,Harry Potter e la Pietra Filosofale,978-8831003384,1997-06-26,16.99,it,302,20,Ragazzino scopre di essere mago.,Fantasy,Young Adult,Adventure
225,Le Cronache di Narnia,978-8804668251,1950-10-16,24.99,it,767,8,Bambini entrano in mondo magico attraverso armadio.,Fantasy,Young Adult,Adventure,Classic
226,Lo Hobbit,978-8845292637,1937-09-21,15.99,it,323,2,Bilbo Baggins parte per avventura con nani.,Fantasy,Adventure,Classic
227,La Storia Infinita,978-8830100916,1979-09-01,16.99,it,505,21,Bastian legge libro magico e diventa parte della storia.,Fantasy,Young Adult,Metafiction
228,Momo,978-8830100923,1973-01-01,14.99,it,267,21,Bambina combatte ladri di tempo.,Fantasy,Young Adult,Philosophical
229,Il Conte di Montecristo,978-8811363637,1844-08-28,18.99,it,1312,18,Edmond Dantès si vendica dopo ingiusta prigionia.,Fiction,Adventure,Classic
230,I Tre Moschettieri,978-8811363644,1844-03-01,15.99,it,645,18,D'Artagnan si unisce ai tre moschettieri.,Fiction,Adventure,Historical,Classic
231,I Miserabili,978-8811363651,1862-04-03,21.99,it,1506,18,Jean Valjean cerca redenzione nella Francia post-rivoluzionaria.,Fiction,Historical,Classic
232,Delitto e Castigo,978-8807902611,1866-01-01,14.99,it,560,9,Raskolnikov uccide per provare teoria sull'uomo straordinario.,Fiction,Philosophical,Crime,Classic
233,I Fratelli Karamazov,978-8807902628,1880-01-01,19.99,it,823,9,Tre fratelli si confrontano con fede morale e parricidio.,Fiction,Philosophical,Classic
234,Guerra e Pace,978-8806220082,1869-01-01,23.99,it,1337,3,Aristocrazia russa durante invasione napoleonica.,Fiction,Historical,Epic,Classic
235,Anna Karenina,978-8806220099,1877-01-01,18.99,it,891,3,Storia di adulterio e tragedia nell'alta società russa.,Fiction,Romance,Classic
236,Don Chisciotte,978-8806220105,1605-01-01,18.99,it,1056,3,Hidalgo impazzito si crede cavaliere errante.,Fiction,Classic,Satire
237,La Divina Commedia,978-8807902635,1320-01-01,16.99,it,798,9,Dante viaggia attraverso Inferno Purgatorio e Paradiso.,Poetry,Epic,Classic,Religion
238,Le Petit Prince,978-2070408504,1943-04-06,12.99,fr,96,22,Petit prince voyage entre planètes cherchant sens de la vie.,Fiction,Fantasy,Philosophical,Classic
239,L'Étranger,978-2070360024,1942-01-01,11.99,fr,186,23,Meursault commet meurtre et fait face à procès existentiel.,Fiction,Existentialist,Classic
240,La Peste,978-2070360147,1947-06-01,14.99,fr,279,23,Épidémie de peste à Oran révèle nature humaine.,Fiction,Existentialist,Philosophical
241,Les Misérables,978-2253096344,1862-04-03,21.99,fr,1632,24,Jean Valjean cherche rédemption dans France post-révolutionnaire.,Fiction,Historical,Classic
242,Le Comte de Monte-Cristo,978-2253098508,1844-08-28,19.99,fr,1344,24,Edmond Dantès s'évade pour se venger.,Fiction,Adventure,Classic
243,Les Trois Mousquetaires,978-2253098515,1844-03-01,16.99,fr,704,24,D'Artagnan rejoint trois mousquetaires.,Fiction,Adventure,Historical,Classic
244,Madame Bovary,978-2253183877,1856-12-01,13.99,fr,417,24,Emma Bovary cherche romance au-delà de mariage ennuyeux.,Fiction,Literary,Classic
245,Germinal,978-2253004226,1885-03-01,15.99,fr,591,24,Mineurs luttent contre exploitation au 19ème siècle.,Fiction,Social Commentary,Classic
246,Le Rouge et le Noir,978-2253098522,1830-11-01,14.99,fr,746,24,Julien Sorel tente ascension sociale dans France de Restauration.,Fiction,Literary,Classic
247,À la Recherche du Temps Perdu,978-2070108169,1913-11-14,24.99,fr,2408,23,Marcel explore mémoire temps et société à travers madeleine.,Fiction,Literary,Modernist,Classic
248,Candide,978-2253003854,1759-01-01,10.99,fr,156,24,Candide voyage à travers monde cruel mais garde optimisme.,Fiction,Satire,Philosophical,Classic
249,Le Père Goriot,978-2253085416,1835-03-01,13.99,fr,368,24,Père se sacrifie pour filles ingrates dans Paris de 1819.,Fiction,Literary,Classic
250,Bel-Ami,978-2253004332,1885-06-01,13.99,fr,416,24,Georges Duroy séduit femmes pour grimper échelle sociale.,Fiction,Literary,Social Commentary
251,Notre-Dame de Paris,978-2253002840,1831-03-16,15.99,fr,698,24,Quasimodo aime bohémienne Esmeralda dans Paris médiéval.,Fiction,Historical,Romance,Classic
252,Le Horla,978-2253006343,1887-05-26,10.99,fr,96,24,Homme est hanté par présence invisible.,Horror,Psychological,Classic
253,Rhinocéros,978-2070368778,1959-01-01,12.99,fr,246,23,Habitants se transforment en rhinocéros un par un.,Drama,Absurdist,Satire
254,Huis Clos,978-2070360031,1944-05-27,11.99,fr,109,23,Trois personnages enfermés dans pièce découvrent que l'enfer c'est les autres.,Drama,Existentialist,Philosophical
255,Der Prozess,978-3596900732,1925-01-01,13.99,de,282,25,Josef K wird verhaftet ohne zu wissen warum.,Fiction,Absurdist,Philosophical,Classic
256,Die Verwandlung,978-3596900749,1915-01-01,10.99,de,74,25,Gregor Samsa erwacht als riesiges Insekt.,Fiction,Absurdist,Classic
257,Faust,978-3150000014,1808-01-01,12.99,de,364,26,Gelehrter Faust verkauft Seele an Teufel.,Drama,Tragedy,Classic,Philosophy
258,Der Steppenwolf,978-3518368015,1927-01-01,14.99,de,288,27,Harry Haller kämpft zwischen bürgerlicher und künstlerischer Existenz.,Fiction,Philosophical,Modernist
259,Siddhartha,978-3518368022,1922-01-01,11.99,de,136,27,Junger Brahmane sucht Erleuchtung.,Fiction,Philosophical,Spiritual
260,Das Parfum,978-3257228007,1985-03-01,15.99,de,320,28,Mörder mit übernatürlichem Geruchssinn kreiert ultimatives Parfüm.,Fiction,Historical,Crime
261,Die Blechtrommel,978-3423115827,1959-01-01,16.99,de,736,29,Oskar weigert sich zu wachsen während Nazi-Zeit.,Fiction,Magical Realism,Historical
262,Im Westen Nichts Neues,978-3462041699,1929-01-29,13.99,de,288,30,Junge Soldaten erleben Schrecken des Ersten Weltkriegs.,Fiction,War,Classic
263,Die Leiden des Jungen Werthers,978-3150000021,1774-09-01,10.99,de,147,26,Werther leidet an unerfüllter Liebe zu Charlotte.,Fiction,Romance,Epistolary,Classic
264,Unterm Rad,978-3518368039,1906-01-01,12.99,de,208,27,Begabter Schüler zerbricht an Erwartungen.,Fiction,Coming of Age,Tragedy
265,El Quijote,978-8408176664,1605-01-01,18.99,es,1376,31,Hidalgo enloquecido se cree caballero andante.,Fiction,Classic,Satire
266,Cien Años de Soledad,978-0307474728,1967-05-30,17.99,es,471,32,Saga de familia Buendía en Macondo mágico.,Fiction,Magical Realism,Literary
267,La Casa de los Espíritus,978-9500425681,1982-01-01,16.99,es,433,33,Saga familiar chilena a través de generaciones.,Fiction,Magical Realism,Historical
268,El Amor en los Tiempos del Cólera,978-0307387288,1985-01-01,16.99,es,368,32,Historia de amor que dura cincuenta años.,Romance,Literary,Magical Realism
269,Rayuela,978-8420410678,1963-01-01,15.99,es,635,34,Novela experimental que lector puede reordenar.,Fiction,Experimental,Literary
270,Pedro Páramo,978-8426413369,1955-03-19,13.99,es,142,35,Juan Preciado busca padre en pueblo de muertos.,Fiction,Magical Realism,Gothic
271,The Picture of Dorian Gray,978-0486278070,1890-07-01,10.99,en,254,22,Portrait ages while Dorian remains eternally young.,Fiction,Gothic,Philosophical,Classic
272,Heart of Darkness,978-0486264646,1899-02-01,9.99,en,72,22,Marlow journeys into Congo seeking ivory trader Kurtz.,Fiction,Colonialism,Psychological,Classic
273,Lord Jim,978-0486424538,1900-10-01,11.99,en,278,22,Ship officer seeks redemption after abandoning passengers.,Fiction,Adventure,Psychological,Classic
274,Nostromo,978-0375757808,1904-10-01,14.99,en,480,1,Silver mine corrupts men in fictional South American republic.,Fiction,Political,Adventure,Classic
275,The Secret Agent,978-0486424927,1907-09-01,11.99,en,246,22,Anarchist shopkeeper becomes unwitting terrorist in London.,Fiction,Spy Thriller,Classic
276,Ulysses,978-0394703800,1922-02-02,19.99,en,732,2,Leopold Bloom's day parallels Odyssey in Dublin.,Fiction,Modernist,Literary,Classic
277,Dubliners,978-0486268705,1914-06-15,10.99,en,160,22,Fifteen stories depict middle-class life in Dublin.,Fiction,Short Stories,Modernist,Classic
278,A Portrait of the Artist as a Young Man,978-0486280509,1916-12-29,10.99,en,253,22,Stephen Dedalus' intellectual and spiritual awakening.,Fiction,Coming of Age,Modernist,Classic
279,Mrs Dalloway,978-0156628709,1925-05-14,13.99,en,194,3,Single day in Clarissa Dalloway's life in post-WWI London.,Fiction,Modernist,Literary,Classic
280,To the Lighthouse,978-0156907392,1927-05-05,13.99,en,209,3,Ramsay family summers on Isle of Skye.,Fiction,Modernist,Literary,Classic
281,Orlando,978-0156701600,1928-10-11,13.99,en,228,3,Nobleman lives through centuries changing sex.,Fiction,Fantasy,LGBT,Modernist
282,The Waves,978-0156949606,1931-10-08,14.99,en,209,3,Six friends' inner lives from childhood to old age.,Fiction,Modernist,Experimental
283,The Sound and the Fury,978-0679732242,1929-10-07,14.99,en,326,4,Compson family's decline in Mississippi.,Fiction,Modernist,Southern Gothic,Classic
284,As I Lay Dying,978-0679732259,1930-10-06,13.99,en,267,4,Bundren family transports mother's corpse for burial.,Fiction,Modernist,Southern Gothic,Classic
285,Light in August,978-0679732266,1932-10-09,15.99,en,480,4,Lena Grove searches for child's father in Mississippi.,Fiction,Modernist,Southern Gothic,Classic
286,Absalom Absalom!,978-0679732181,1936-10-26,16.99,en,313,4,Sutpen family saga reveals South's tragic history.,Fiction,Modernist,Southern Gothic,Classic
287,The Grapes of Wrath,978-0143039433,1939-04-14,15.99,en,464,1,Joad family migrates to California during Dust Bowl.,Fiction,Social Commentary,Classic
288,Of Mice and Men,978-0142000670,1937-02-25,11.99,en,107,1,Migrant workers George and Lennie dream of own farm.,Fiction,Tragedy,Classic
289,East of Eden,978-0142004234,1952-09-19,17.99,en,601,1,Multigenerational saga explores nature of good and evil.,Fiction,Family Saga,Classic
290,Cannery Row,978-0143039587,1945-01-01,13.99,en,181,1,Colorful characters in Monterey California during Depression.,Fiction,Humor,Classic
291,The Pearl,978-0142000694,1947-01-01,10.99,en,90,1,Poor fisherman finds pearl bringing tragedy.,Fiction,Parable,Classic
292,Tortilla Flat,978-0143039495,1935-05-28,12.99,en,156,1,Paisanos enjoy carefree life in Monterey after WWI.,Fiction,Humor,Classic
293,In Cold Blood,978-0679745587,1966-01-01,15.99,en,343,4,Truman Capote reconstructs murder of Kansas family.,True Crime,Non-fiction,Classic
294,Breakfast at Tiffany's,978-0679745655,1958-01-01,11.99,en,179,4,Holly Golightly enchants narrator in New York.,Fiction,Literary,Romance
295,A Clockwork Orange,978-0393312836,1962-01-01,14.99,en,192,5,Alex leads gang in ultra-violent future before being reformed.,Science Fiction,Dystopian,Philosophical
296,The Spy Who Came in from the Cold,978-0143124757,1963-09-01,14.99,en,224,1,Burned-out spy Leamas undertakes last mission in Cold War.,Spy Thriller,Classic
297,Tinker Tailor Soldier Spy,978-0143120933,1974-01-01,15.99,en,379,1,George Smiley hunts Soviet mole in British intelligence.,Spy Thriller,Mystery
298,The Russia House,978-0345418265,1989-06-01,14.99,en,353,6,Publisher Barley Blair becomes unlikely spy.,Spy Thriller,Romance
299,The Constant Gardener,978-0743262484,2001-01-04,15.99,en,492,7,Diplomat investigates wife's murder in Kenya.,Thriller,Political,Mystery
300,The Remains of the Day,978-0679731726,1989-05-01,14.99,en,245,4,Butler reflects on life of service and lost love.,Fiction,Historical,Literary
301,Never Let Me Go,978-1400078776,2005-04-05,15.99,en,288,8,Students discover they're clones raised for organ donation.,Science Fiction,Dystopian,Literary
302,Klara and the Sun,978-0593318171,2021-03-02,16.99,en,307,9,Artificial Friend Klara observes human behavior from store.,Science Fiction,Literary,Philosophical
303,On Chesil Beach,978-1400075997,2007-05-29,13.99,en,166,8,Newlyweds' disastrous wedding night in 1962.,Fiction,Historical,Literary
304,Atonement,978-0385721790,2001-09-20,16.99,en,351,10,Briony's lie destroys lives on eve of WWII.,Fiction,Historical,Literary,Romance
305,The Sense of an Ending,978-0307957122,2011-10-05,13.99,en,150,11,Tony Webster confronts past after ex-girlfriend's suicide.,Fiction,Literary,Psychological
306,The Blind Assassin,978-0385720953,2000-09-02,16.99,en,637,12,Iris Chase recounts sister's suicide and family secrets.,Fiction,Literary,Mystery
307,Alias Grace,978-0385490443,1996-09-01,16.99,en,468,13,Servant convicted of murder in 1843 Canada.,Fiction,Historical,Mystery
308,The Handmaid's Tale,978-0385490818,1985-06-01,14.99,en,311,14,Offred survives as reproductive servant in theocratic regime.,Fiction,Dystopian,Feminist
309,Oryx and Crake,978-0385721677,2003-05-01,15.99,en,376,12,Snowman survives bioengineered apocalypse.,Science Fiction,Dystopian,Literary
310,Cat's Eye,978-0385491204,1988-09-01,15.99,en,462,15,Painter returns to Toronto confronting traumatic childhood.,Fiction,Literary,Psychological
311,Life of Pi,978-0156027328,2001-09-11,15.99,en,319,3,Pi Patel survives 227 days at sea with Bengal tiger.,Fiction,Adventure,Philosophical
312,Midnight's Children,978-0812976533,1981-04-18,17.99,en,646,4,Saleem Sinai born at India's independence possesses telepathy.,Fiction,Magical Realism,Historical
313,The Satanic Verses,978-0812976717,1988-09-26,17.99,en,546,4,Two Indian actors fall from exploding plane over England.,Fiction,Magical Realism,Philosophical
314,Shame,978-0812976700,1983-09-01,16.99,en,287,4,Allegorical history of Pakistan through two families.,Fiction,Magical Realism,Political
315,White Teeth,978-0375703867,2000-01-27,16.99,en,448,5,Two families navigate multicultural London across generations.,Fiction,Literary,Comedy
316,On Beauty,978-0143037743,2005-09-06,15.99,en,443,1,Academic families clash over politics art and love.,Fiction,Literary,Contemporary
317,NW,978-0143123934,2012-09-04,15.99,en,333,1,Four Londoners from same estate live different lives.,Fiction,Literary,Contemporary
318,Swing Time,978-0143111641,2016-11-15,16.99,en,453,1,Two girls bond over dance but take different paths.,Fiction,Literary,Contemporary
319,The Remains of the Day,978-0679731726,1989-05-01,14.99,en,245,4,Stevens reflects on life as butler at Darlington Hall.,Fiction,Historical,Literary
320,An Artist of the Floating World,978-0679722663,1986-05-01,13.99,en,206,4,Retired artist confronts his role in Japanese nationalism.,Fiction,Historical,Literary
321,The Unconsoled,978-0679735878,1995-05-09,15.99,en,535,4,Pianist Ryder navigates surreal European city.,Fiction,Surrealism,Literary
322,When We Were Orphans,978-0375724404,2000-09-12,14.99,en,313,5,Detective returns to Shanghai seeking kidnapped parents.,Fiction,Mystery,Historical
323,A Pale View of Hills,978-0679722670,1982-02-04,13.99,en,183,4,Japanese woman in England recalls postwar Nagasaki.,Fiction,Literary,Psychological
324,Half of a Yellow Sun,978-1400095209,2006-09-12,16.99,en,433,6,Biafran War seen through eyes of Igbo family.,Fiction,Historical,War
325,Americanah,978-0307455925,2013-05-14,16.99,en,477,7,Nigerian woman navigates race in America and returns home.,Fiction,Literary,Contemporary
326,Purple Hibiscus,978-1565129419,2003-10-01,14.99,en,307,8,Nigerian teen finds voice in oppressive religious household.,Fiction,Coming of Age,Contemporary
327,Things Fall Apart,978-0385474542,1958-06-17,13.99,en,209,9,Okonkwo's life and Igbo culture disrupted by colonialism.,Fiction,Historical,Postcolonial,Classic
328,No Longer at Ease,978-0385474511,1960-01-01,12.99,en,169,9,Okonkwo's grandson faces corruption in modern Nigeria.,Fiction,Postcolonial,Contemporary
329,Arrow of God,978-0385478403,1964-01-01,13.99,en,230,9,Chief priest confronts colonial administration.,Fiction,Historical,Postcolonial
330,Disgrace,978-0140296396,1999-01-01,14.99,en,220,10,Disgraced professor retreats to daughter's farm in post-apartheid South Africa.,Fiction,Literary,Contemporary
331,Waiting for the Barbarians,978-0140154764,1980-01-01,13.99,en,156,10,Magistrate questions Empire's treatment of nomadic people.,Fiction,Allegory,Postcolonial
332,Life & Times of Michael K,978-0140072792,1983-09-01,13.99,en,184,10,Simple man seeks peace during South African civil war.,Fiction,Literary,War
333,The God of Small Things,978-0812979657,1997-04-04,15.99,en,340,11,Twins in Kerala face forbidden love and family tragedy.,Fiction,Literary,Postcolonial
334,The Ministry for the Future,978-0316300131,2020-10-06,17.99,en,576,12,Global efforts to combat climate change.,Science Fiction,Climate Fiction,Political
335,Red Mars,978-0553560732,1992-10-01,17.99,en,519,13,First hundred colonists terraform Mars.,Science Fiction,Hard SF,Space Colonization
336,Green Mars,978-0553572391,1993-10-01,17.99,en,535,13,Revolution brews on partially terraformed Mars.,Science Fiction,Hard SF,Political
337,Blue Mars,978-0553573350,1996-06-01,18.99,en,609,13,Mars becomes independent as Earth deteriorates.,Science Fiction,Hard SF,Political
338,2312,978-0316198387,2012-05-22,16.99,en,561,12,Swan Er Hong investigates conspiracy in colonized solar system.,Science Fiction,Hard SF,Space Opera
339,Aurora,978-0316098106,2015-07-07,16.99,en,466,12,Generation ship approaches Tau Ceti.,Science Fiction,Hard SF,Generation Ship
340,The Years of Rice and Salt,978-0553580075,2002-03-01,17.99,en,763,14,Alternate history where Black Death killed 99% of Europeans.,Science Fiction,Alternate History,Literary
341,Shaman,978-0316097529,2013-10-08,16.99,en,447,12,Young man trains as shaman in Ice Age.,Fiction,Historical,Prehistoric
342,The Dispossessed,978-0061054884,1974-05-01,14.99,en,387,15,Physicist from anarchist moon visits capitalist planet.,Science Fiction,Political,Philosophical
343,The Word for World is Forest,978-0765324641,1972-02-01,13.99,en,189,16,Colonists exploit forest planet's peaceful inhabitants.,Science Fiction,Political,Environmental
344,The Fifth Season,978-0316229296,2015-08-04,16.99,en,468,17,Continent plagued by catastrophic climate change.,Fantasy,Apocalyptic,Literary
345,The Obelisk Gate,978-0316229265,2016-08-16,16.99,en,410,17,Essun searches for daughter as world ends.,Fantasy,Apocalyptic,Literary
346,The Stone Sky,978-0316229241,2017-08-15,17.99,en,464,17,Final confrontation to save or end the world.,Fantasy,Apocalyptic,Literary
347,The Broken Earth Trilogy,978-0316527194,2018-11-13,24.99,en,1344,17,Complete trilogy in one volume.,Fantasy,Apocalyptic,Literary
348,How Long 'til Black Future Month?,978-0316491372,2018-11-27,15.99,en,400,17,Short story collection exploring futures.,Science Fiction,Fantasy,Short Stories
349,The City We Became,978-0316509848,2020-03-24,17.99,en,434,17,New York City comes alive to fight extradimensional threat.,Fantasy,Urban Fantasy,Contemporary
350,Ancillary Justice,978-0316246620,2013-10-01,15.99,en,409,18,AI warship seeks revenge for destroyed consciousness.,Science Fiction,Space Opera,Military SF
351,Ancillary Sword,978-0316246651,2014-10-07,15.99,en,356,18,Breq commands ship on civilized station.,Science Fiction,Space Opera,Political
352,Ancillary Mercy,978-0316246682,2015-10-06,16.99,en,330,18,Breq must choose sides in brewing civil war.,Science Fiction,Space Opera,Political
353,The Long Way to a Small Angry Planet,978-0062444134,2014-07-29,15.99,en,518,19,Diverse crew tunnels wormholes through space.,Science Fiction,Space Opera,Character-driven
354,A Closed and Common Orbit,978-0062569370,2016-10-18,15.99,en,365,19,AI learns to be human in illegal body.,Science Fiction,Character-driven,Philosophical
355,Record of a Spaceborn Few,978-0062699237,2018-07-24,16.99,en,359,19,Life in aging Exodus Fleet generation ships.,Science Fiction,Character-driven,Slice of Life
356,The Galaxy and the Ground Within,978-0062936011,2021-02-16,16.99,en,336,19,Five strangers stranded at rest stop.,Science Fiction,Character-driven,Slice of Life
357,To Be Taught If Fortunate,978-0062936042,2019-09-03,13.99,en,144,19,Four astronauts explore exoplanets.,Science Fiction,Hard SF,Philosophical
358,Gideon the Ninth,978-1250313195,2019-09-10,16.99,en,448,20,Necromancer and cavalier compete for immortality.,Fantasy,Gothic,Sapphic,Space Opera
359,Harrow the Ninth,978-1250313218,2020-08-04,17.99,en,512,20,Harrowhark serves God as Lyctor.,Fantasy,Gothic,Psychological,Space Opera
360,Nona the Ninth,978-1250313225,2022-09-13,17.99,en,480,20,Nona has six months before world ends.,Fantasy,Gothic,Contemporary,Space Opera
361,The Poppy War,978-0062662569,2018-05-01,16.99,en,530,19,War orphan Rin discovers dangerous shamanic powers.,Fantasy,Military,Dark,Chinese Mythology
362,The Dragon Republic,978-0062662620,2019-08-06,17.99,en,658,19,Rin becomes pirate seeking vengeance.,Fantasy,Military,Dark,Political
363,The Burning God,978-0062662668,2020-11-17,18.99,en,640,19,Final war between warlord and goddess.,Fantasy,Military,Dark,Epic
364,A Memory Called Empire,978-1250186430,2019-03-26,16.99,en,462,21,Ambassador investigates predecessor's murder in alien empire.,Science Fiction,Space Opera,Political
365,A Desolation Called Peace,978-1250186447,2021-03-02,17.99,en,496,21,Mahit and Three Seagrass negotiate with alien threat.,Science Fiction,Space Opera,First Contact
366,This Is How You Lose the Time War,978-1534431003,2019-07-16,14.99,en,198,22,Two time-traveling agents from opposing sides fall in love.,Science Fiction,Romance,Epistolary
367,The Space Between Worlds,978-1250209603,2020-08-04,16.99,en,329,23,Woman can travel to parallel Earths where her doppelgängers died.,Science Fiction,Multiverse,Thriller
368,Mexican Gothic,978-0525620785,2020-06-30,16.99,en,301,24,Socialite investigates cousin's disturbing marriage in creepy mansion.,Horror,Gothic,Historical
369,The Only Good Indians,978-1982136437,2020-07-14,15.99,en,308,25,Four men hunted by vengeful entity from their past.,Horror,Thriller,Native American
370,Ring Shout,978-1250767028,2020-10-13,13.99,en,192,26,Sword-wielding woman fights Ku Klux Klan monsters in 1920s Georgia.,Horror,Fantasy,Alternate History
371,A Song for a New Day,978-0358042082,2019-09-10,15.99,en,374,27,Musicians navigate world after terrorist attacks ban gatherings.,Science Fiction,Dystopian,Music
372,The Vanished Birds,978-1250169808,2020-01-14,16.99,en,421,28,Ship captain and mute boy travel through time-dilated space.,Science Fiction,Literary,Time Dilation
373,The Lesson,978-1250782687,2022-05-10,16.99,en,320,29,Alien invasion told from perspective of Black British family.,Science Fiction,Alien Invasion,Contemporary
374,Piranesi,978-1635575637,2020-09-15,16.99,en,245,30,Man lives in infinite house with tides and statues.,Fantasy,Literary,Mystery,Surrealism
375,The Invisible Life of Addie LaRue,978-0765387561,2020-10-06,17.99,en,444,31,Woman cursed to be forgotten makes deal with devil.,Fantasy,Historical,Romance
376,The Ten Thousand Doors of January,978-0316421997,2019-09-10,16.99,en,374,32,Girl discovers doors to other worlds.,Fantasy,Historical,Portal Fantasy
377,The Night Circus,978-0307744432,2011-09-13,15.99,en,387,33,Two magicians compete in mysterious circus.,Fantasy,Romance,Historical
378,The Starless Sea,978-1101971383,2019-11-05,17.99,en,498,34,Graduate student discovers underground library.,Fantasy,Literary,Metafiction
379,House of Leaves,978-0375703768,2000-03-07,18.99,en,709,35,Family moves into house larger inside than outside.,Horror,Experimental,Psychological
